Land Use,Property Address,Sale Date,Sale Price,Acreage,Neighborhood,Land Value,Building Value,Total Value,Finished Area,Foundation Type,Year Built,Exterior Wall,Grade,Bedrooms,Full Bath,Half Bath,SaleDT
SINGLE FAMILY,3718  WOODMONT LN,2013-08-16,339000.0,0.3,3228,270000.0,83800.0,353800.0,1456.0,CRAWL,1950.0,BRICK,C   ,3.0,1.0,1.0,2013-08-16
SINGLE FAMILY,3719  BRIGHTON RD,2015-12-18,1700000.0,0.76,3227,270000.0,1073400.0,1343400.0,5454.0,CRAWL,2004.0,BRICK,X   ,4.0,5.0,2.0,2015-12-18
SINGLE FAMILY,3719  ELKINS AVE,2013-12-05,279900.0,0.18,1126,65000.0,156600.0,228100.0,1350.0,CRAWL,1924.0,FRAME,C   ,3.0,1.0,0.0,2013-12-05
SINGLE FAMILY,3719  RICHLAND AVE,2013-07-10,1250000.0,0.28,2626,195000.0,834100.0,1029100.0,4262.80003,FULL BSMT,1899.0,BRICK,A   ,5.0,4.0,1.0,2013-07-10
SINGLE FAMILY,3719 GRUBBS  RD,2016-07-15,210000.0,0.25,3131,18000.0,102500.0,122800.0,1035.0,CRAWL,1953.0,BRICK,C   ,2.0,1.0,0.0,2016-07-15
SINGLE FAMILY,372  BARRYWOOD DR,2014-06-26,314900.0,0.39,4026,46000.0,242700.0,288700.0,1766.0,CRAWL,1957.0,BRICK,C   ,3.0,2.0,0.0,2014-06-26
SINGLE FAMILY,372  BLACKMAN RD,2014-08-28,299900.0,0.5,4026,32700.0,165100.0,200800.0,1815.25,FULL BSMT,1962.0,BRICK,C   ,3.0,2.0,0.0,2014-08-28
SINGLE FAMILY,372 WILLOW BOUGH  LN,2016-09-08,407500.0,1.19,6227,99000.0,194400.0,293400.0,3024.0,FULL BSMT,1977.0,BRICK,A   ,4.0,2.0,0.0,2016-09-08
SINGLE FAMILY,3720  BAKERTOWN RD,2015-04-23,105000.0,0.24,3930,15000.0,55300.0,70300.0,975.0,CRAWL,1960.0,BRICK,C   ,2.0,1.0,0.0,2015-04-23
SINGLE FAMILY,3720  HILLTOP LN,2015-02-25,195000.0,0.34,7332,30000.0,96200.0,139800.0,1262.0,FULL BSMT,1950.0,BRICK,C   ,3.0,1.0,0.0,2015-02-25
SINGLE FAMILY,3720  MOSS ROSE DR,2016-03-18,385000.0,0.39,7329,59900.0,148600.0,208500.0,1391.0,CRAWL,1985.0,BRICK,C   ,3.0,2.0,0.0,2016-03-18
SINGLE FAMILY,3720  PARK AVE,2015-07-08,263000.0,0.17,1126,65000.0,127600.0,209400.0,1385.0,CRAWL,1920.0,FRAME,C   ,2.0,2.0,0.0,2015-07-08
SINGLE FAMILY,3720  TURLEY DR,2015-12-15,208000.0,0.29,3927,26000.0,121800.0,147800.0,1795.5,FULL BSMT,1962.0,BRICK,C   ,3.0,2.0,0.0,2015-12-15
SINGLE FAMILY,3720 PLANTATION  DR,2016-07-22,168000.0,0.27,6233,21000.0,85900.0,112300.0,1408.0,CRAWL,1962.0,BRICK,C   ,3.0,1.0,1.0,2016-07-22
SINGLE FAMILY,3721  BURRUS ST,2015-04-23,141000.0,0.16,7332,28200.0,196300.0,229000.0,1837.90497,PT BSMT,1940.0,BRICK,C   ,4.0,2.0,0.0,2015-04-23
SINGLE FAMILY,3721  CENTRAL AVE,2013-02-14,563570.0,0.22,2626,195000.0,349800.0,544800.0,2328.0,FULL BSMT,1920.0,FRAME,B   ,3.0,2.0,0.0,2013-02-14
SINGLE FAMILY,3721  FAIRVIEW DR,2015-11-02,65000.0,0.64,3532,20000.0,46800.0,68200.0,1132.0,CRAWL,1955.0,FRAME,D   ,3.0,1.0,0.0,2015-11-02
SINGLE FAMILY,3721  GRUBBS RD,2015-12-28,105000.0,0.24,3131,18000.0,68900.0,89400.0,768.0,CRAWL,1953.0,FRAME,C   ,2.0,1.0,0.0,2015-12-28
SINGLE FAMILY,3721  VALLEY RIDGE DR,2014-01-21,123000.0,0.6,3926,21500.0,91400.0,112900.0,1602.75,FULL BSMT,1968.0,BRICK/FRAME,C   ,4.0,1.0,0.0,2014-01-21
SINGLE FAMILY,3721 BURRUS  ST,2016-07-14,295000.0,0.16,7332,28200.0,196300.0,229000.0,1837.90497,PT BSMT,1940.0,BRICK,C   ,4.0,2.0,0.0,2016-07-14
SINGLE FAMILY,3721 SENTINEL  DR,2016-07-07,258000.0,0.2,1126,65000.0,55100.0,120100.0,744.0,CRAWL,1955.0,FRAME,D   ,2.0,1.0,0.0,2016-07-07
SINGLE FAMILY,3722  BURRUS ST,2014-07-16,115000.0,0.16,7332,28200.0,84600.0,112800.0,1186.0,CRAWL,1955.0,BRICK,C   ,2.0,1.0,0.0,2014-07-16
SINGLE FAMILY,3722  HILLTOP LN,2013-07-12,147000.0,0.16,7332,28200.0,93500.0,122500.0,1194.0,CRAWL,1996.0,FRAME,C   ,3.0,2.0,0.0,2013-07-12
SINGLE FAMILY,3722  NEVADA AVE,2013-11-07,50000.0,0.36,1126,91000.0,75900.0,166900.0,1105.0,CRAWL,1948.0,FRAME,D   ,3.0,1.0,0.0,2013-11-07
SINGLE FAMILY,3722  TIBBS DR,2015-03-13,189900.0,0.27,3131,25000.0,103800.0,128800.0,1302.0,CRAWL,1955.0,BRICK/FRAME,C   ,2.0,1.0,0.0,2015-03-13
SINGLE FAMILY,3723  E RIDGE DR,2015-12-14,132000.0,0.71,3927,26000.0,86900.0,112900.0,1650.0,FULL BSMT,1964.0,BRICK/FRAME,C   ,3.0,1.0,0.0,2015-12-14
